day,month,hour,minute,Total
5,4,9,45,66.1875
5,4,10,0,72.4075
5,4,10,15,78.235
5,4,10,30,84.62
5,4,10,45,92.0675
5,4,11,0,98.785
5,4,11,15,103.605
5,4,11,30,106.7075
5,4,11,45,109.6025
5,4,12,0,111.8075
5,4,12,15,113.45
5,4,12,30,114.685
5,4,12,45,116.16
5,4,13,0,117.0375
5,4,13,15,117.3525
5,4,13,30,117.445
5,4,13,45,117.52
5,4,14,0,116.615
5,4,14,15,116.525
5,4,14,30,115.4775
5,4,14,45,114.3175
5,4,15,0,112.3825
5,4,15,15,110.61
5,4,15,30,108.105
5,4,15,45,105.26
5,4,16,0,102.6825
5,4,16,15,99.4425
5,4,16,30,96.105
5,4,16,45,92.3075
5,4,17,0,88.025
5,4,17,15,81.7525
5,4,17,30,73.8375
5,4,17,45,66.1525
5,4,18,0,58.1475
5,4,18,15,49.86
5,4,18,30,41.625
5,4,18,45,33.47
5,4,19,0,25.455
5,4,19,15,18.1725
5,4,19,30,11.735
5,4,19,45,5.6975
5,4,20,0,2.4425
5,4,20,15,0.5275
5,4,20,30,0.0125
5,4,20,45,0.0
5,4,21,0,0.0
5,4,21,15,0.0
5,4,21,30,0.0
5,4,21,45,0.0
5,4,22,0,0.0
5,4,22,15,0.0
5,4,22,30,0.0
5,4,22,45,0.0
5,4,23,0,0.0
5,4,23,15,0.0
5,4,23,30,0.0
5,4,23,45,0.0
6,4,0,0,0.0
6,4,0,15,0.0
6,4,0,30,0.0
6,4,0,45,0.0
6,4,1,0,0.0
6,4,1,15,0.0
6,4,1,30,0.0
6,4,1,45,0.0
6,4,2,0,0.0
6,4,2,15,0.0
6,4,2,30,0.0
6,4,2,45,0.0
6,4,3,0,0.0
6,4,3,15,0.0
6,4,3,30,0.0
6,4,3,45,0.0
6,4,4,0,0.0
6,4,4,15,0.0
6,4,4,30,0.0
6,4,4,45,0.0
6,4,5,0,0.0
6,4,5,15,0.0
6,4,5,30,0.0
6,4,5,45,0.0
6,4,6,0,0.0
6,4,6,15,0.0
6,4,6,30,0.0
6,4,6,45,0.0125
6,4,7,0,0.6175
6,4,7,15,2.1175
6,4,7,30,4.025
6,4,7,45,8.2925
6,4,8,0,15.2725
6,4,8,15,23.2025
6,4,8,30,30.8775
6,4,8,45,37.97
6,4,9,0,45.3925
6,4,9,15,53.37
6,4,9,30,60.7325
6,4,9,45,68.7225
6,4,10,0,74.965
6,4,10,15,80.285
6,4,10,30,85.06
6,4,10,45,92.245
6,4,11,0,98.64
6,4,11,15,102.625
6,4,11,30,105.6925
6,4,11,45,107.8025
6,4,12,0,110.0175
6,4,12,15,111.73
6,4,12,30,112.6075
6,4,12,45,113.1575
6,4,13,0,113.485
6,4,13,15,114.3875
6,4,13,30,114.8825
6,4,13,45,116.335
6,4,14,0,90.7325
6,4,14,15,99.8725
6,4,14,30,104.0775
6,4,14,45,101.4425
6,4,15,0,75.4825
6,4,15,15,94.405
6,4,15,30,67.58
6,4,15,45,52.2575
6,4,16,0,57.9025
6,4,16,15,44.555
6,4,16,30,39.19
6,4,16,45,13.155
6,4,17,0,9.45
6,4,17,15,6.1675
6,4,17,30,7.215
6,4,17,45,12.5775
6,4,18,0,13.8875
6,4,18,15,6.635
6,4,18,30,5.4475
6,4,18,45,5.99
6,4,19,0,21.3675
6,4,19,15,22.6625
6,4,19,30,16.13
6,4,19,45,8.885
6,4,20,0,4.8775
6,4,20,15,1.8625
6,4,20,30,0.0825
6,4,20,45,0.0
6,4,21,0,0.0
6,4,21,15,0.0
6,4,21,30,0.0
6,4,21,45,0.0
6,4,22,0,0.0
6,4,22,15,0.0
6,4,22,30,0.0
6,4,22,45,0.0
6,4,23,0,0.0
6,4,23,15,0.0
6,4,23,30,0.0
6,4,23,45,0.0
7,4,0,0,0.0
7,4,0,15,0.0
7,4,0,30,0.0
7,4,0,45,0.0
7,4,1,0,0.0
7,4,1,15,0.0
7,4,1,30,0.0
7,4,1,45,0.0
7,4,2,0,0.0
7,4,2,15,0.0
7,4,2,30,0.0
7,4,2,45,0.0
7,4,3,0,0.0
7,4,3,15,0.0
7,4,3,30,0.0
7,4,3,45,0.0
7,4,4,0,0.0
7,4,4,15,0.0
7,4,4,30,0.0
7,4,4,45,0.0
7,4,5,0,0.0
7,4,5,15,0.0
7,4,5,30,0.0
7,4,5,45,0.0
7,4,6,0,0.0
7,4,6,15,0.0
7,4,6,30,0.0
7,4,6,45,0.0375
7,4,7,0,0.8975
7,4,7,15,2.8725
7,4,7,30,5.3125
7,4,7,45,10.0075
7,4,8,0,17.125
7,4,8,15,25.6575
7,4,8,30,33.735
7,4,8,45,41.185
7,4,9,0,48.2025
7,4,9,15,55.1075
7,4,9,30,61.08
7,4,9,45,66.9225
7,4,10,0,72.9475
7,4,10,15,77.905
7,4,10,30,83.65
7,4,10,45,93.3575
7,4,11,0,97.585
7,4,11,15,100.9825
7,4,11,30,103.9925
7,4,11,45,108.1575
7,4,12,0,111.2775
7,4,12,15,111.645
7,4,12,30,109.635
7,4,12,45,96.22
7,4,13,0,89.8425
7,4,13,15,109.69
7,4,13,30,85.3475
7,4,13,45,116.52
7,4,14,0,114.3375
7,4,14,15,116.485
7,4,14,30,114.495
7,4,14,45,113.1625
7,4,15,0,110.1725
7,4,15,15,109.205
7,4,15,30,107.715
7,4,15,45,104.7875
7,4,16,0,102.3125
7,4,16,15,95.95
7,4,16,30,91.1025
7,4,16,45,90.13
7,4,17,0,87.91
7,4,17,15,80.8325
7,4,17,30,71.7825
7,4,17,45,57.4175
7,4,18,0,52.5925
7,4,18,15,49.1125
7,4,18,30,41.725
7,4,18,45,32.1675
7,4,19,0,25.84
7,4,19,15,20.92
7,4,19,30,15.6375
7,4,19,45,10.1125
7,4,20,0,4.935
7,4,20,15,1.115
7,4,20,30,0.0125
7,4,20,45,0.0
7,4,21,0,0.0
7,4,21,15,0.0
7,4,21,30,0.0
7,4,21,45,0.0
7,4,22,0,0.0
7,4,22,15,0.0
7,4,22,30,0.0
7,4,22,45,0.0
7,4,23,0,0.0
7,4,23,15,0.0
7,4,23,30,0.0
7,4,23,45,0.0
8,4,0,0,0.0
8,4,0,15,0.0
8,4,0,30,0.0
8,4,0,45,0.0
8,4,1,0,0.0
8,4,1,15,0.0
8,4,1,30,0.0
8,4,1,45,0.0
8,4,2,0,0.0
8,4,2,15,0.0
8,4,2,30,0.0
8,4,2,45,0.0
8,4,3,0,0.0
8,4,3,15,0.0
8,4,3,30,0.0
8,4,3,45,0.0
8,4,4,0,0.0
8,4,4,15,0.0
8,4,4,30,0.0
8,4,4,45,0.0
8,4,5,0,0.0
8,4,5,15,0.0
8,4,5,30,0.0
8,4,5,45,0.0
8,4,6,0,0.0
8,4,6,15,0.0
8,4,6,30,0.0
8,4,6,45,0.075
8,4,7,0,0.8025
8,4,7,15,2.9625
8,4,7,30,4.79
8,4,7,45,7.5975
8,4,8,0,14.145
8,4,8,15,19.6325
8,4,8,30,27.9575
8,4,8,45,37.89
8,4,9,0,41.3275
8,4,9,15,44.91
8,4,9,30,54.9625
8,4,9,45,62.995
8,4,10,0,72.3325
8,4,10,15,78.14
8,4,10,30,81.375
8,4,10,45,88.5275
